"subject" "activity_label" "dom" "body_gravity" "acc_gyro" "jerk" "mag" "direction" "stat" "value"
1 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.38767954258
2 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.354405991979167
3 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.364267073645161
4 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.348845900740741
5 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.335101444535577
6 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.383873282714035
7 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.528533952901923
8 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.441890399583333
9 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.506106673826
10 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.345229581437931
11 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.318991671991228
12 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.431029527313083
13 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.439012185643548
14 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.515617420744118
15 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.414321311603472
16 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.544661430885714
17 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.505257073609859
18 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.323657881430769
19 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.401738102370482
20 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.3825345263875
21 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.527785940016667
22 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.415494974152778
23 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.465907468033333
24 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.4460232556875
25 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.508028500005205
26 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.346000417585526
27 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.30635466825
28 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.461324747575
29 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.275476856855072
30 "LAYING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.393411800089286
1 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.35556395543617
2 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.415169772703261
3 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.438012823413462
4 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.450454992178
5 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.438841544011364
6 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.40342417256
7 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.46009489371875
8 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.413219391193043
9 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.48916582053
10 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.366857464722222
11 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.377208585858491
12 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.475532947598039
13 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.403181311523469
14 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.462610901548148
15 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.396122841380508
16 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.358859108311594
17 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.423808542974219
18 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.340100204859649
19 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.50824529609537
20 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.453023548815151
21 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.362383268707059
22 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.498722754405871
